lang	age	target	word	error	file	correct	child
Greek	2b	x	xapi	x:+tx	g2bt19m211.cha	1	19
Greek	2b	x	xoma	x:+kx	g2bt21f312.cha	1	21
Greek	2b	x	xara	x:+kx	g2bt14m212.cha	1	14
Greek	2b	x	xort	x:+kx	g2bt13f111.cha	1	13
Greek	2a	x	xapi	x:+kx	g2at07m311.cha	1	07
Greek	3b	x	xapi	x:+kx	g3bt20m222.cha	1	20
Greek	3a	x	xort	x:+kx	g3at10f122.cha	1	10
Greek	3a	x	xala	x:+kx	g3at08m222.cha	1	08
Greek	3a	x	xoma	x:+kx	g3at04m312.cha	1	04
Greek	3a	x	xore	x:+kh	g3at02m112.cha	1	02
Greek	2b	x	xapi	x:+h	g2bt23m222.cha	1	23
Greek	2b	x	xara	x:+h	g2bt23m221.cha	1	23
Greek	2a	x	xala	x:+h	g2at07m311.cha	1	07
Greek	2a	x	xort	x:+h	g2at07m311.cha	1	07
Greek	2a	x	xore	x:+h	g2at08f112.cha	1	08
Greek	2b	x	xapi	x:#	g2bt26m322.cha	1	26
Greek	2a	x	xoma	x:#	g2at07m312.cha	1	07
Greek	3b	DF	xore	x:#	g3bt14m121.cha	1	14
Greek	3a	x	xort	x:#	g3at05f211.cha	1	05
Greek	3a	x	xapi	x:#	g3at08m222.cha	1	08
Greek	2b	ts	tsuz	ts:$t	g2bt19m212.cha	1	19
Greek	2b	ts	tsux	ts:$t	g2bt26m322.cha	1	26
Greek	2b	ts	tsis	ts:$t	g2bt26m322.cha	1	26
Greek	2b	ts	tski	ts:$t	g2bt26m322.cha	1	26
Greek	3a	ts	tsis	ts:$t	g3at01m222.cha	1	01
Greek	3a	ts	tsad	ts:$t	g3at01m222.cha	1	01
Greek	2b	DF	tsul	ts:$s	g2bt16m122.cha	1	16
Greek	2b	ts	tsis	ts:$s	g2bt18f122.cha	1	18
Greek	3a	ts	tsad	ts:$s	g3at08m222.cha	1	08
Greek	3a	DF	tsig	ts:$ps	g3at08m221.cha	1	08
Greek	2b	DF	tsux	ts:$kj	g2bt14m211.cha	1	14
Greek	3a	ts	tsig	ts:$kj	g3at11f312.cha	1	11
Greek	3a	DF	tsul	ts:$kj	g3at11f311.cha	1	11
Greek	3b	ts	tsis	ts:$dz	g3bt22f111.cha	1	22
Greek	2b	ts	tsib	ts:+tS	g2bt14m212.cha	1	14
Greek	3a	DF	tsul	ts:+tS	g3at05f211.cha	1	05
Greek	2b	ts	tsig	ts:+th	g2bt19m212.cha	1	19
Greek	2b	ts	tsad	ts:+th	g2bt19m211.cha	1	19
Greek	2a	ts	tsis	ts:+th	g2at03f222.cha	1	03
Greek	3b	ts	tsux	ts:+th	g3bt19f111.cha	1	19
Greek	3b	ts	tsuz	ts:+th	g3bt17m312.cha	1	17
Greek	3b	ts	tsai	ts:+th	g3bt24m321.cha	1	24
Greek	3b	ts	tsad	ts:+th	g3bt24m322.cha	1	24
Greek	3b	ts	tski	ts:+th	g3bt24m322.cha	1	24
Greek	3b	ts	tsig	ts:+th	g3bt18f212.cha	1	18
Greek	3b	Noise	tsib	ts:+th	g3bt23m212.cha	1	23
Greek	3b	overlap	tsib	ts:+th	g3bt23m212.cha	1	23
Greek	3b	ts	tsad	ts:+th	g3bt23m211.cha	1	23
Greek	3a	ts	tsad	ts:+th	g3at13m122.cha	1	13
Greek	3a	ts	tsuz	ts:+th	g3at13m121.cha	1	13
Greek	3a	ts	tsis	ts:+th	g3at12f211.cha	1	12
Greek	2a	ts	tsad	ts:+tc}	g2at07m311.cha	1	07
Greek	3b	ts	tsul	ts:+tc}	g3bt19f111.cha	1	19
Greek	3b	ts	tsib	ts:+tc}	g3bt19f112.cha	1	19
Greek	3b	ts	tsib	ts:+tc}	g3bt18f212.cha	1	18
Greek	3a	ts	tsux	ts:+tc}	g3at13m122.cha	1	13
Greek	3a	ts	tsai	ts:+tc}	g3at07f321.cha	1	07
Greek	3a	ts	tsuz	ts:+tc}	g3at11f312.cha	1	11
Greek	3a	DF	tsib	ts:+tc}	g3at12f212.cha	1	12
Greek	2b	ts	tsai	ts:#	g2bt14m212.cha	1	14
Greek	3b	ts	tsux	ts:#	g3bt17m311.cha	1	17
Greek	3b	ts	tsai	ts:#	g3bt23m212.cha	1	23
Greek	3a	ts	tsis	ts:#	g3at02m111.cha	1	02
Greek	3a	ts	tski	ts:#	g3at12f211.cha	1	12
Greek	2b	t	tavr	t:$ts	g2bt16m122.cha	1	16
Greek	2b	t	timo	t:$ts	g2bt26m321.cha	1	26
Greek	2b	t	tigr	t:$ts	g2bt26m321.cha	1	26
Greek	2a	t	toks	t:$ts	g2at03f221.cha	1	03
Greek	2a	t	turi	t:$ts	g2at03f221.cha	1	03
Greek	2a	the	tost	t:$ts	g2at03f222.cha	1	03
Greek	3a	t	tixo	t:$ts	g3at07f322.cha	1	07
Greek	2b	t	tigr	t:$kj	g2bt16m121.cha	1	16
Greek	2b	t	tixo	t:$kj	g2bt18f122.cha	1	18
Greek	2b	t	timo	t:$kj	g2bt18f121.cha	1	18
Greek	2a	t	tese	t:$kj	g2at08f112.cha	1	08
Greek	2a	overlap	tixo	t:$kj	g2at11f222.cha	1	11
Greek	2a	t	tigr	t:$kj	g2at05f212.cha	1	05
Greek	3b	t	timo	t:$kj	g3bt20m221.cha	1	20
Greek	3a	t	turt	t:$kj	g3at01m222.cha	1	01
Greek	3b	t	tebe	t:$d	g3bt14m122.cha	1	14
Greek	2b	T	thim	T:+tT	g2bt13f111.cha	1	13
Greek	2b	t	tebe	t:+th	g2bt16m122.cha	1	16
Greek	2b	t	tixo	t:+th	g2bt23m222.cha	1	23
Greek	2b	t	turi	t:+th	g2bt16m121.cha	1	16
Greek	2b	DF	tuba	t:+th	g2bt23m221.cha	1	23
Greek	2a	t	turi	t:+th	g2at01f112.cha	1	01
Greek	2a	t	tebe	t:+th	g2at03f222.cha	1	03
Greek	3b	t	turi	t:+th	g3bt18f212.cha	1	18
Greek	3a	t	turi	t:+th	g3at05f212.cha	1	05
Greek	2a	t	turt	t:#	g2at02f222.cha	1	02
Greek	3a	t	tese	t:#	g3at07f321.cha	1	07
Greek	2b	s	soma	s:$xj	g2bt14m212.cha	1	14
Greek	2a	s	supa	s:$xj	g2at07m311.cha	1	07
Greek	2a	s	suvl	s:$xj	g2at07m312.cha	1	07
Greek	2a	s	savr	s:$xj	g2at07m312.cha	1	07
Greek	2a	s	soma	s:$xj	g2at08f112.cha	1	08
Greek	2a	s	svla	s:$xj	g2at03f222.cha	1	03
Greek	2a	s	sala	s:$xj	g2at03f222.cha	1	03
Greek	3b	s	soma	s:$xj	g3bt23m212.cha	1	23
Greek	3a	s	suvl	s:$xj	g3at12f212.cha	1	12
Greek	3a	s	sosi	s:$xj	g3at11f311.cha	1	11
Greek	2b	s	sela	s:$ts	g2bt16m121.cha	1	16
Greek	2b	s	sern	s:$ts	g2bt18f122.cha	1	18
Greek	2a	s	soda	s:$ts	g2at01f112.cha	1	01
Greek	3b	s	svla	s:$ts	g3bt24m322.cha	1	24
Greek	3b	s	savr	s:$ts	g3bt18f212.cha	1	18
Greek	3b	s	supa	s:$ts	g3bt18f211.cha	1	18
Greek	3a	s	side	s:$ts	g3at05f211.cha	1	05
Greek	2b	s	sine	s:$T	g2bt23m222.cha	1	23
Greek	2b	s	sine	s:$T	g2bt19m211.cha	1	19
Greek	2a	s	soda	s:$T	g2at10m312.cha	1	10
Greek	2a	s	sine	s:$T	g2at10m311.cha	1	10
Greek	2a	s	Sali	s:$T	g2at10m311.cha	1	10
Greek	2a	s	suvl	s:$T	g2at11f221.cha	1	11
Greek	2a	s	soda	s:$T	g2at11f221.cha	1	11
Greek	2a	s	sala	s:$T	g2at05f211.cha	1	05
Greek	3b	s	soda	s:$T	g3bt18f212.cha	1	18
Greek	3b	s	sine	s:$T	g3bt18f211.cha	1	18
Greek	2b	s	soda	s:$ps	g2bt18f121.cha	1	18
Greek	3a	s	sedo	s:$ps	g3at10f121.cha	1	10
Greek	3a	s	sern	s:$ps	g3at12f211.cha	1	12
Greek	3b	Noise	soda	s:$ks	g3bt23m212.cha	1	23
Greek	3a	s	savr	s:$ks	g3at13m121.cha	1	13
Greek	2a	s	side	s:$C	g2at07m311.cha	1	07
Greek	2a	s	siro	s:$C	g2at03f221.cha	1	03
Greek	2a	s	sosi	s:$C	g2at03f222.cha	1	03
Greek	2b	s	supa	s:+S	g2bt16m122.cha	1	16
Greek	2b	s	savr	s:+S	g2bt25m112.cha	1	25
Greek	3b	s	Sali	s:+S	g3bt14m122.cha	1	14
Greek	3b	s	Sali	s:+c}	g3bt23m211.cha	1	23
Greek	3b	s	sosi	s:#	g3bt24m322.cha	1	24
Greek	3a	s	sedo	s:#	g3at02m112.cha	1	02
Greek	2b	C	Xith	m	g2bt25m111.cha	m	25
Greek	2b	overlap	siro	m	g2bt21f312.cha	m	21
Greek	2b	x	xala	m	g2bt16m122.cha	m	16
Greek	2b	s	Sali	m	g2bt16m122.cha	m	16
Greek	2b	kj	kipo	m	g2bt23m222.cha	m	23
Greek	2b	s	soda	m	g2bt25m112.cha	m	25
Greek	2b	C	xilj	m	g2bt25m112.cha	m	25
Greek	2b	C	xilj	m	g2bt16m121.cha	m	16
Greek	2b	overlap	kefa	m	g2bt19m211.cha	m	19
Greek	2b	s	savr	m	g2bt23m221.cha	m	23
Greek	2b	k	kukl	m	g2bt18f121.cha	m	18
Greek	2b	s	soma	m	g2bt18f121.cha	m	18
Greek	2a	overlap	tsul	m	g2at07m311.cha	m	07
Greek	2a	overlap	tsul	m	g2at07m311.cha	m	07
Greek	2a	s	svla	m	g2at07m311.cha	m	07
Greek	2a	ts	tsis	m	g2at07m311.cha	m	07
Greek	2a	s	savr	m	g2at04m212.cha	m	04
Greek	2a	t	toks	m	g2at01f112.cha	m	01
Greek	2a	x	xapi	m	g2at08f111.cha	m	08
Greek	2a	s	soda	m	g2at08f112.cha	m	08
