lang	age	target	word	error	file	correct	child
English	3b	tʷʰh	twisted	twh:$thuw	e3bt21m222.cha	1	21
English	3a	tʷʰh	twisted	twh:$thuw	e3at03f111.cha	1	03
English	3b	tʷʰh	twin	twh:$th	e3bt16f211.cha	1	16
English	3b	whisper	tweezers	twh:$th	e3bt25m212.cha	1	25
English	3b	tʷʰh	twisted	twh:$th	e3bt25m211.cha	1	25
English	3b	tʷʰh	twin	twh:$th	e3bt22f322.cha	1	22
English	3a	tʷʰh	tweezers	twh:$th	e3at03f111.cha	1	03
English	3a	tʷʰh	twisted	twh:+tswh	e3at09m122.cha	1	09
English	3b	tʷʰh	twisted	twh:+tfh	e3bt20m122.cha	1	20
English	2b	tʷʰh	twisted	twh:+dw	e2bt22m312.cha	1	22
English	3b	tʃʰ	chosen	tSh:$th9	e3bt23f112.cha	1	23
English	3b	tʃʰ	chop	tSh:$th9	e3bt24f222.cha	1	24
English	3b	tʃʰ	chalkboard	tSh:$th9	e3bt24f221.cha	1	24
English	3b	tʃʰ	chasing	tSh:$th9	e3bt17m121.cha	1	17
English	3a	tʃʰ	chess	tSh:$th9	e3at08f212.cha	1	08
English	3b	tʃʰ	choo	tSh:$th	e3bt21m222.cha	1	21
English	3b	tʃʰ	chasing	tSh:$th	e3bt24f222.cha	1	24
English	3b	tʃʰ	chores	tSh:$th	e3bt18f312.cha	1	18
English	3a	tʃʰ	choo	tSh:$th	e3at09m121.cha	1	09
English	3a	tʃʰ	chart	tSh:$th	e3at01f211.cha	1	01
English	2b	tʃʰ	choo	tSh:$th	e2bt12f112.cha	1	12
English	2b	tʃʰ	chores	tSh:$th	e2bt16m321.cha	1	16
English	2a	tʃʰ	choking	tSh:$th	e2at03f121.cha	1	03
English	2a	tʃʰ	chewing	tSh:$th	e2at03f122.cha	1	03
English	2a	ðɸ	chasing	tSh:$th	e2at10m211.cha	1	10
English	2a	tʃʰ	chess	tSh:$th	e2at10m212.cha	1	10
English	2a	tʃʰ	chart	tSh:$th	e2at01f322.cha	1	01
